"Month","Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Positive.Alcohol.Tests","Positive.Drug.Tests","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Hours.Engineers.On.Duty","Hours.Conductors.On.Duty","Minutes.Engineers.On.Duty","Minutes.Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","Equipment.Damage.Cost","Track.Damage.Cost","Total.Damage.Cost","summed_cost","Postive.DA.Tests"
"12",2016,"9",38,"Day","Cloudy","Main","1",30.2,"West",6,"Recorded",6,0,"Signaled","Signal Indication",0,0,"No",1,1,0,0,0,0,4,0,3,0,0,1,0,0,1,2,2,51,51,41.4353,-81.647115,"1","CL","Class 1","SMT-9 - CSX",13044,0,13044,13044,"No"
"05",2013,"13",68,"Day","Clear","Yard","1",55,"East",15,"Estimated",15,1000,"Not Signaled","Other Than Main Track",0,0,"No",0,0,0,0,0,0,8,0,4,0,0,2,0,0,1,2,7,30,45,45.681325,-108.718013,"1","Cl","Class 2","SMT-8 - Short Line West",150000,5000,155000,155000,"No"
"02",2015,"22",13,"Dark","Clear","Main","4",144.53,"East",35,"Recorded",35,16898,"Signaled","Signal Indication",0,0,"No",0,1,0,0,0,1,119,0,0,0,0,1,0,0,1,3,3,31,31,40.992559,-96.215812,"4","CL","Class 1","SMT-5 - BNSF",2137340,1807398,3944738,3944738,"No"
"10",2018,"9",49,"Day","Cloudy","Yard","1",10,"North",2,"Recorded",5,0,"Not Signaled","Other Than Main Track",0,0,"No",0,1,0,0,0,0,35,0,5,0,0,1,0,0,1,2,2,40,40,42.383796,-82.974525,"1","Cl","Class 3","SMT-2 - Short Line East",53957,0,57544,53957,"No"
"10",2018,"9",49,"Day","Cloudy","Yard","1",10,"South",5,"Recorded",5,0,"Not Signaled","Other Than Main Track",0,0,"No",0,1,0,0,0,0,2,0,9,0,0,1,0,0,1,1,1,40,40,42.383796,-82.974525,"1","Cl","Class 3","SMT-2 - Short Line East",3387,200,57544,3587,"No"
"07",2016,"10",60,"Day","Rain","Main","4",56.24,"South",25,"Estimated",25,0,"Not Signaled","Direct Train Control",0,0,"No",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,3,15,15,47.021639,-92.340944,"4","No","Class 1","SMT-4 - CP/CN/CCD",3600,0,37024,3600,"No"
"12",2017,"19",42,"Dusk","Cloudy","Yard","1",10,"South",5,"Recorded",5,0,"Not Signaled","Other Than Main Track",0,0,"No",0,2,0,0,0,0,19,0,0,0,0,1,0,0,1,2,2,41,41,42.320846,-83.12976,"1","Cl","Class 3","SMT-2 - Short Line East",30981,0,31131,30981,"No"
"08",2018,"1",64,"Dark","Clear","Main","1",0.4,"South",5,"Estimated",5,3171,"Not Signaled","Yard/Restricted Limits",0,0,"No",10,2,0,0,0,0,17,0,30,0,0,1,0,0,1,9,9,46,46,44.91952,-93.049043,"1","CL","Class 1","SMT-6 - UP/KCS",3564,30348,33912,33912,"No"
"08",2020,"16",95,"Day","Cloudy","Main","3",5.7,"North",29,"Estimated",29,11972,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,89,0,0,0,0,1,0,0,1,6,6,57,57,38.234274,-90.426286,"3","CL","Class 1","SMT-6 - UP/KCS",160063,253214,413277,413277,"No"
"03",2020,"1",52,"Dark","Clear","Yard","1",24,"South",5,"Estimated",5,0,"Signaled","Other Than Main Track",0,0,"No",0,1,0,0,0,0,12,0,34,0,0,1,0,0,1,2,2,30,30,35.228142,-80.852528,"1","CL","Class 1","SMT-3 - Norfolk Southern",6205,9339,15544,15544,"No"
"06",2018,"15",83,"Day","Cloudy","Main","X",51917,"East",8,"Recorded",8,4507,"Not Signaled","Block Register Territory",0,0,"No",0,3,0,0,0,0,33,0,1,0,0,1,0,0,1,10,10,30,30,43.183219,-84.63945,"X","Cl","Class 3","SMT-8 - Short Line West",50550,4196,54746,54746,"No"
