"Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","summed_cost","Postive.DA.Tests","Working.Over.8","Season"
2019,"5",60,"Dark","Clear","Main","4",108.4,"East",40,"Recorded",40,11234,"Signaled","Signal Indication","No",0,3,0,0,0,0,89,0,27,0,0,1,0,0,1,41.115208,-82.329678,"4","CL","Class 1","SMT-9 - CSX",2214565,"No","No","Spring"
2013,"14",84,"Day","Clear","Main","3",9,"West",1,"Estimated",1,10959,"Signaled","Signal Indication","No",27,3,0,0,0,0,77,0,48,0,0,1,0,0,1,32.287617,-90.17962,"3","CL","Class 1","SMT-6 - UP/KCS",206997,"No","Yes","Fall"
2019,"10",85,"Day","Clear","Main","4",2,"East",0,"Estimated",16,4552,"Signaled","Signal Indication","No",12,2,0,0,0,0,46,0,61,0,0,1,0,0,1,39.264559,-84.433217,"4","CL","Class 1","SMT-3 - Norfolk Southern",6211,"No","Yes","Summer"
2012,"7",78,"Day","Clear","Main","3",11.96,"South",41,"Recorded",41,15016,"Signaled","Signal Indication","No",0,2,0,0,0,1,108,0,0,0,0,1,0,0,1,31.7375,-89.6725,"3","Cl","Class 1","SMT-4 - CP/CN/CCD",2246906,"No","No","Spring"
2019,"23",65,"Dark","Clear","Yard","1",65,"East",4,"Recorded",4,15,"Not Signaled","Other Than Main Track","No",2,2,0,0,0,0,23,0,1,0,0,1,0,0,1,41.403611,-81.560478,"1","CL","Class 1","SMT-3 - Norfolk Southern",18510,"No","No","Fall"
2018,"19",26,"Dark","Un-Clear","Main","4",3.8,"West",10,"Estimated",10,3780,"Not Signaled","Direct Train Control","No",30,3,0,0,0,0,30,0,0,0,0,1,0,0,1,47.912002,-114.295643,"4","Cl","Class 2","SMT-8 - Short Line West",12078,"No","No","Winter"
2017,"7",60,"Day","Clear","Main","3",5.52,"North",9,"Recorded",9,5217,"Not Signaled","Direct Train Control","No",30,2,0,0,0,0,19,0,76,0,0,2,0,0,1,47.476908,-111.094638,"3","CL","Class 1","SMT-5 - BNSF",1650810,"No","Yes","Spring"
2016,"8",50,"Day","Clear","Main","4",37.1,"West",25,"Recorded",25,683,"Signaled","Signal Indication","No",0,1,0,0,0,0,14,0,0,0,0,1,0,0,1,39.847014,-75.394248,"4","CL","Class 1","SMT-9 - CSX",34594,"No","No","Fall"
2019,"12",24,"Day","Un-Clear","Main","3",61.8,"West",30,"Recorded",30,17827,"Signaled","Signal Indication","No",0,3,0,0,0,1,125,0,0,0,0,1,0,0,1,45.646434,-110.875152,"3","Cl","Class 2","SMT-8 - Short Line West",2375000,"No","No","Winter"
2014,"13",50,"Day","Un-Clear","Yard","1",1.1,"North",6,"Estimated",6,0,"Not Signaled","Other Than Main Track","No",0,1,0,0,0,0,11,0,0,0,0,1,0,0,1,36.134389,-95.452851,"1","Cl","Class 3","SMT-8 - Short Line West",81000,"No","No","Fall"
